airport_icao,le_ident,he_ident,length_ft,length_m,width_ft,width_m,surface,lighted,closed,le_latitude,le_longitude,le_elevation_ft,le_heading_deg,le_displaced_threshold_ft,le_displaced_threshold_m,he_latitude,he_longitude,he_elevation_ft,he_heading_deg,he_displaced_threshold_ft,he_displaced_threshold_m,centerline_bearing_deg
00A,H1,,80,24.4,80,24.4,asphalt,true,false,,,,,0,0,,,,,0,0,
00AK,N,S,2500,762,40,12.2,gravel,false,false,,,,,0,0,,,,,0,0,
00AL,01,19,2100,640.1,90,27.4,turf,false,false,,,,,0,0,,,,,0,0,
00AN,3,21,4517,1376.8,60,18.3,gvl,false,false,,,,,0,0,,,,,0,0,
00AS,1,19,1450,442,60,18.3,turf,false,false,,,,,0,0,,,,,0,0,
00AZ,15,33,1700,518.2,60,18.3,gravel,false,false,,,,,0,0,,,,,0,0,
00CA,04,22,6000,1828.8,80,24.4,asphalt,false,false,35.349,-116.893,,50,0,0,35.36,-116.878,,,0,0,48
00FA,08,26,3200,975.4,100,30.5,turf,false,false,,,,,0,0,,,,,800,243.8,
00FL,12,30,4700,1432.6,60,18.3,turf,false,false,,,,,0,0,,,,,0,0,
00GA,09,27,2600,792.5,80,24.4,turf,false,false,,,,,0,0,,,,,0,0,
00GE,H1,,125,38.1,95,29,asphalt,true,false,,,,,0,0,,,,,0,0,
00HI,H1,,1155,352,45,13.7,asphalt,false,false,,,,,0,0,,,,,0,0,
00ID,08,26,3500,1066.8,40,12.2,turf,false,false,,,,,0,0,,,,,0,0,
00ID,11,29,2900,883.9,40,12.2,turf,false,false,,,,,0,0,,,,,0,0,
00IL,18,36,2500,762,75,22.9,turf,false,false,,,,,290,88.4,,,,,350,106.7,
00IN,H1,,40,12.2,40,12.2,pierced steel planking,true,false,,,,,0,0,,,,,0,0,
00IS,E,W,1600,487.7,70,21.3,turf,false,false,,,,,0,0,,,,,0,0,
00KS,17,35,2600,792.5,85,25.9,turf,false,false,,,,,0,0,,,,,0,0,
00KY,01,19,2100,640.1,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
00LA,H1,,40,12.2,40,12.2,turf,false,false,,,,,0,0,,,,,0,0,
00LL,H1,,25,7.6,25,7.6,concrete,false,false,,,,,0,0,,,,,0,0,
00LS,18,36,2600,792.5,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
00MD,14,32,1700,518.2,75,22.9,turf,false,false,,,,,0,0,,,,,0,0,
00MI,H1,,100,30.5,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
00MN,06,24,2949,898.9,200,61,turf,true,false,,,,,0,0,,,,,0,0,
00MO,08,26,2400,731.5,25,7.6,turf,false,false,,,,,0,0,,,,,0,0,
00N,18,36,2420,737.6,150,45.7,turf,true,false,,,,,0,0,,,,,0,0,
00NC,05,23,2650,807.7,36,11,asphalt,false,false,,,,,0,0,,,,,0,0,
00NJ,H1,,50,15.2,50,15.2,asphalt,false,false,,,,,0,0,,,,,0,0,
00NR,H1,,50,15.2,50,15.2,concrete,true,false,,,,,0,0,,,,,0,0,
00NY,03,21,2350,716.3,80,24.4,turf,true,false,,,,,0,0,,,,,0,0,
00OI,H1,,40,12.2,40,12.2,concrete,true,false,,,,,0,0,,,,,0,0,
00OK,17,35,2200,670.6,60,18.3,turf,false,false,,,,,0,0,,,,,0,0,
00PA,H1,,80,24.4,80,24.4,turf,false,false,,,,,0,0,,,,,0,0,
00PN,12,30,500,152.4,75,22.9,turf,false,false,,,,,0,0,,,,,0,0,
00S,06,24,2600,792.5,90,27.4,turf,false,false,,,,,0,0,,,,,0,0,
00SC,08,26,2900,883.9,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
00SD,18,36,2400,731.5,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
00TE,H1,,48,14.6,48,14.6,turf,false,false,,,,,0,0,,,,,0,0,
00TS,01,19,1200,365.8,45,13.7,turf,false,false,,,,,0,0,,,,,0,0,
00TT,18,36,2429,740.4,80,24.4,turf,false,false,,,,,0,0,,,,,0,0,
00VA,01,19,1300,396.2,100,30.5,turf,false,false,,,,,0,0,,,,270,0,0,
00VI,09,27,1500,457.2,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
00W,14,32,3400,1036.3,50,15.2,gravel,false,false,,,,,0,0,,,,,0,0,
00WA,08,26,1600,487.7,75,22.9,turf,false,false,,,,,0,0,,,,,0,0,
00WI,09,27,1000,304.8,60,18.3,turf,false,false,44.304,-89.052,,87.2,0,0,44.304,-89.048,,,200,61,90
00WN,05,23,1440,438.9,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
00WV,05,23,1800,548.6,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
01A,5,23,1176,358.4,50,15.2,gravel,false,false,62.94,-152.273,2034,70,0,0,62.941,-152.266,2041,250,0,0,72.6
01AK,H1,,40,12.2,40,12.2,concrete,true,false,,,,,0,0,,,,,0,0,
01AL,N,S,2400,731.5,60,18.3,turf,true,false,,,,,0,0,,,,,0,0,
01AR,H1,,55,16.8,55,16.8,concrete,true,false,,,,,0,0,,,,,0,0,
01AZ,H1,,210,64,150,45.7,turf,false,false,,,,,0,0,,,,,0,0,
01CA,H1,,20,6.1,20,6.1,asphalt,false,false,,,,,0,0,,,,,0,0,
01CL,09,27,3100,944.9,50,15.2,asphalt,true,false,,,,,500,152.4,,,,,0,0,
01CO,H1,,125,38.1,40,12.2,asphalt,false,false,,,,,0,0,,,,,0,0,
01CT,H1,,70,21.3,70,21.3,turf,false,false,,,,,0,0,,,,,0,0,
01FA,10,28,2000,609.6,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
01FA,18,36,1500,457.2,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
